img,labels,pred,prediction tag,labels bin,percent labelled,accuracy,mPrecision,mRecall,mIoU,mF1,img file,gt file,labels file,pred file
TCGA-D8-A1JG-DX1_xmin15677_ymin69205_MPP-0.2500_crop-500-1750-1300-2550,TCGA-D8-A1JG-DX1_xmin15677_ymin69205_MPP-0.2500_crop-500-1750-1300-2550_perc-1,TCGA-D8-A1JG-DX1_xmin15677_ymin69205_MPP-0.2500_crop-500-1750-1300-2550_perc-1_ILA,ILA,1,0.951744,0.71610816,0.6090092102056975,0.6481264330647988,0.4672737893955399,0.6168324012522773,/imaging.data/rschwob/24-07_histo_segmentations/data/TCGA-D8-A1JG-DX1_xmin15677_ymin69205_MPP-0.2500_crop-500-1750-1300-2550.tif,/imaging.data/rschwob/24-07_histo_segmentations/data/TCGA-D8-A1JG-DX1_xmin15677_ymin69205_MPP-0.2500_crop-500-1750-1300-2550_GT.tif,/imaging.data/rschwob/24-07_histo_segmentations/data/TCGA-D8-A1JG-DX1_xmin15677_ymin69205_MPP-0.2500_crop-500-1750-1300-2550_perc-1_LABELS.tif,/imaging.data/rschwob/24-07_histo_segmentations/data/TCGA-D8-A1JG-DX1_xmin15677_ymin69205_MPP-0.2500_crop-500-1750-1300-2550_perc-1_ILA.tif
TCGA-EW-A1P1-DX1_xmin50567_ymin38988_MPP-0.2500_crop-2250-3500-2100-3350,TCGA-EW-A1P1-DX1_xmin50567_ymin38988_MPP-0.2500_crop-2250-3500-2100-3350_perc-1,TCGA-EW-A1P1-DX1_xmin50567_ymin38988_MPP-0.2500_crop-2250-3500-2100-3350_perc-1_UNI,UNI,1,0.8709120000000001,0.79646784,0.593901886528431,0.7905960619573715,0.4837056932799124,0.6301594392386346,/imaging.data/rschwob/24-07_histo_segmentations/data/TCGA-EW-A1P1-DX1_xmin50567_ymin38988_MPP-0.2500_crop-2250-3500-2100-3350.tif,/imaging.data/rschwob/24-07_histo_segmentations/data/TCGA-EW-A1P1-DX1_xmin50567_ymin38988_MPP-0.2500_crop-2250-3500-2100-3350_GT.tif,/imaging.data/rschwob/24-07_histo_segmentations/data/TCGA-EW-A1P1-DX1_xmin50567_ymin38988_MPP-0.2500_crop-2250-3500-2100-3350_perc-1_LABELS.tif,/imaging.data/rschwob/24-07_histo_segmentations/data/TCGA-EW-A1P1-DX1_xmin50567_ymin38988_MPP-0.2500_crop-2250-3500-2100-3350_perc-1_UNI.tif
TCGA-EW-A1P1-DX1_xmin50567_ymin38988_MPP-0.2500_crop-2250-3500-2100-3350,TCGA-EW-A1P1-DX1_xmin50567_ymin38988_MPP-0.2500_crop-2250-3500-2100-3350_perc-1,TCGA-EW-A1P1-DX1_xmin50567_ymin38988_MPP-0.2500_crop-2250-3500-2100-3350_perc-1_DINOv2,DINOv2,1,0.8709120000000001,0.86833536,0.6118276782027692,0.8989162237245166,0.5505559599684772,0.6639143932059933,/imaging.data/rschwob/24-07_histo_segmentations/data/TCGA-EW-A1P1-DX1_xmin50567_ymin38988_MPP-0.2500_crop-2250-3500-2100-3350.tif,/imaging.data/rschwob/24-07_histo_segmentations/data/TCGA-EW-A1P1-DX1_xmin50567_ymin38988_MPP-0.2500_crop-2250-3500-2100-3350_GT.tif,/imaging.data/rschwob/24-07_histo_segmentations/data/TCGA-EW-A1P1-DX1_xmin50567_ymin38988_MPP-0.2500_crop-2250-3500-2100-3350_perc-1_LABELS.tif,/imaging.data/rschwob/24-07_histo_segmentations/data/TCGA-EW-A1P1-DX1_xmin50567_ymin38988_MPP-0.2500_crop-2250-3500-2100-3350_perc-1_DINOv2.tif
TCGA-EW-A1P1-DX1_xmin50567_ymin38988_MPP-0.2500_crop-2250-3500-2100-3350,TCGA-EW-A1P1-DX1_xmin50567_ymin38988_MPP-0.2500_crop-2250-3500-2100-3350_perc-1,TCGA-EW-A1P1-DX1_xmin50567_ymin38988_MPP-0.2500_crop-2250-3500-2100-3350_perc-1_VGG16_l-0_s-1-2,VGG16_l-0_s-1-2,1,0.8709120000000001,0.72607616,0.457900259381363,0.6769062517357333,0.3579206483545104,0.4925680749873616,/imaging.data/rschwob/24-07_histo_segmentations/data/TCGA-EW-A1P1-DX1_xmin50567_ymin38988_MPP-0.2500_crop-2250-3500-2100-3350.tif,/imaging.data/rschwob/24-07_histo_segmentations/data/TCGA-EW-A1P1-DX1_xmin50567_ymin38988_MPP-0.2500_crop-2250-3500-2100-3350_GT.tif,/imaging.data/rschwob/24-07_histo_segmentations/data/TCGA-EW-A1P1-DX1_xmin50567_ymin38988_MPP-0.2500_crop-2250-3500-2100-3350_perc-1_LABELS.tif,/imaging.data/rschwob/24-07_histo_segmentations/data/TCGA-EW-A1P1-DX1_xmin50567_ymin38988_MPP-0.2500_crop-2250-3500-2100-3350_perc-1_VGG16_l-0_s-1-2.tif
TCGA-EW-A1P1-DX1_xmin50567_ymin38988_MPP-0.2500_crop-2250-3500-2100-3350,TCGA-EW-A1P1-DX1_xmin50567_ymin38988_MPP-0.2500_crop-2250-3500-2100-3350_perc-1,TCGA-EW-A1P1-DX1_xmin50567_ymin38988_MPP-0.2500_crop-2250-3500-2100-3350_perc-1_ILA,ILA,1,0.8709120000000001,0.79098048,0.5869241607713075,0.780461180928823,0.4918509896229366,0.6290560134304376,/imaging.data/rschwob/24-07_histo_segmentations/data/TCGA-EW-A1P1-DX1_xmin50567_ymin38988_MPP-0.2500_crop-2250-3500-2100-3350.tif,/imaging.data/rschwob/24-07_histo_segmentations/data/TCGA-EW-A1P1-DX1_xmin50567_ymin38988_MPP-0.2500_crop-2250-3500-2100-3350_GT.tif,/imaging.data/rschwob/24-07_histo_segmentations/data/TCGA-EW-A1P1-DX1_xmin50567_ymin38988_MPP-0.2500_crop-2250-3500-2100-3350_perc-1_LABELS.tif,/imaging.data/rschwob/24-07_histo_segmentations/data/TCGA-EW-A1P1-DX1_xmin50567_ymin38988_MPP-0.2500_crop-2250-3500-2100-3350_perc-1_ILA.tif
TCGA-LL-A5YO-DX1_xmin36631_ymin44396_MPP-0.2500_crop-750-2000-500-1750,TCGA-LL-A5YO-DX1_xmin36631_ymin44396_MPP-0.2500_crop-750-2000-500-1750_perc-1,TCGA-LL-A5YO-DX1_xmin36631_ymin44396_MPP-0.2500_crop-750-2000-500-1750_perc-1_UNI,UNI,1,0.976768,0.5702464,0.5249565025081008,0.5775630246976955,0.373463642349626,0.5419698084593063,/imaging.data/rschwob/24-07_histo_segmentations/data/TCGA-LL-A5YO-DX1_xmin36631_ymin44396_MPP-0.2500_crop-750-2000-500-1750.tif,/imaging.data/rschwob/24-07_histo_segmentations/data/TCGA-LL-A5YO-DX1_xmin36631_ymin44396_MPP-0.2500_crop-750-2000-500-1750_GT.tif,/imaging.data/rschwob/24-07_histo_segmentations/data/TCGA-LL-A5YO-DX1_xmin36631_ymin44396_MPP-0.2500_crop-750-2000-500-1750_perc-1_LABELS.tif,/imaging.data/rschwob/24-07_histo_segmentations/data/TCGA-LL-A5YO-DX1_xmin36631_ymin44396_MPP-0.2500_crop-750-2000-500-1750_perc-1_UNI.tif
TCGA-LL-A5YO-DX1_xmin36631_ymin44396_MPP-0.2500_crop-750-2000-500-1750,TCGA-LL-A5YO-DX1_xmin36631_ymin44396_MPP-0.2500_crop-750-2000-500-1750_perc-1,TCGA-LL-A5YO-DX1_xmin36631_ymin44396_MPP-0.2500_crop-750-2000-500-1750_perc-1_DINOv2,DINOv2,1,0.976768,0.63535104,0.5818538886002265,0.6516155132222559,0.4356063274154637,0.6035347830501265,/imaging.data/rschwob/24-07_histo_segmentations/data/TCGA-LL-A5YO-DX1_xmin36631_ymin44396_MPP-0.2500_crop-750-2000-500-1750.tif,/imaging.data/rschwob/24-07_histo_segmentations/data/TCGA-LL-A5YO-DX1_xmin36631_ymin44396_MPP-0.2500_crop-750-2000-500-1750_GT.tif,/imaging.data/rschwob/24-07_histo_segmentations/data/TCGA-LL-A5YO-DX1_xmin36631_ymin44396_MPP-0.2500_crop-750-2000-500-1750_perc-1_LABELS.tif,/imaging.data/rschwob/24-07_histo_segmentations/data/TCGA-LL-A5YO-DX1_xmin36631_ymin44396_MPP-0.2500_crop-750-2000-500-1750_perc-1_DINOv2.tif
TCGA-LL-A5YO-DX1_xmin36631_ymin44396_MPP-0.2500_crop-750-2000-500-1750,TCGA-LL-A5YO-DX1_xmin36631_ymin44396_MPP-0.2500_crop-750-2000-500-1750_perc-1,TCGA-LL-A5YO-DX1_xmin36631_ymin44396_MPP-0.2500_crop-750-2000-500-1750_perc-1_VGG16_l-0_s-1-2,VGG16_l-0_s-1-2,1,0.976768,0.4937088,0.4333304636501637,0.5101818106445017,0.300695195334422,0.4586880589951926,/imaging.data/rschwob/24-07_histo_segmentations/data/TCGA-LL-A5YO-DX1_xmin36631_ymin44396_MPP-0.2500_crop-750-2000-500-1750.tif,/imaging.data/rschwob/24-07_histo_segmentations/data/TCGA-LL-A5YO-DX1_xmin36631_ymin44396_MPP-0.2500_crop-750-2000-500-1750_GT.tif,/imaging.data/rschwob/24-07_histo_segmentations/data/TCGA-LL-A5YO-DX1_xmin36631_ymin44396_MPP-0.2500_crop-750-2000-500-1750_perc-1_LABELS.tif,/imaging.data/rschwob/24-07_histo_segmentations/data/TCGA-LL-A5YO-DX1_xmin36631_ymin44396_MPP-0.2500_crop-750-2000-500-1750_perc-1_VGG16_l-0_s-1-2.tif
TCGA-LL-A5YO-DX1_xmin36631_ymin44396_MPP-0.2500_crop-750-2000-500-1750,TCGA-LL-A5YO-DX1_xmin36631_ymin44396_MPP-0.2500_crop-750-2000-500-1750_perc-1,TCGA-LL-A5YO-DX1_xmin36631_ymin44396_MPP-0.2500_crop-750-2000-500-1750_perc-1_ILA,ILA,1,0.976768,0.57124608,0.5239732085401997,0.6044825415097679,0.3817179786274395,0.5509911300497417,/imaging.data/rschwob/24-07_histo_segmentations/data/TCGA-LL-A5YO-DX1_xmin36631_ymin44396_MPP-0.2500_crop-750-2000-500-1750.tif,/imaging.data/rschwob/24-07_histo_segmentations/data/TCGA-LL-A5YO-DX1_xmin36631_ymin44396_MPP-0.2500_crop-750-2000-500-1750_GT.tif,/imaging.data/rschwob/24-07_histo_segmentations/data/TCGA-LL-A5YO-DX1_xmin36631_ymin44396_MPP-0.2500_crop-750-2000-500-1750_perc-1_LABELS.tif,/imaging.data/rschwob/24-07_histo_segmentations/data/TCGA-LL-A5YO-DX1_xmin36631_ymin44396_MPP-0.2500_crop-750-2000-500-1750_perc-1_ILA.tif
TCGA-OL-A97C-DX1_xmin68058_ymin32495_MPP-0.2500_crop-1250-2500-800-2050,TCGA-OL-A97C-DX1_xmin68058_ymin32495_MPP-0.2500_crop-1250-2500-800-2050_perc-1,TCGA-OL-A97C-DX1_xmin68058_ymin32495_MPP-0.2500_crop-1250-2500-800-2050_perc-1_UNI,UNI,1,0.88576,0.97194432,0.6506278272986658,0.8565193662352273,0.5919698993746438,0.7084947999526847,/imaging.data/rschwob/24-07_histo_segmentations/data/TCGA-OL-A97C-DX1_xmin68058_ymin32495_MPP-0.2500_crop-1250-2500-800-2050.tif,/imaging.data/rschwob/24-07_histo_segmentations/data/TCGA-OL-A97C-DX1_xmin68058_ymin32495_MPP-0.2500_crop-1250-2500-800-2050_GT.tif,/imaging.data/rschwob/24-07_histo_segmentations/data/TCGA-OL-A97C-DX1_xmin68058_ymin32495_MPP-0.2500_crop-1250-2500-800-2050_perc-1_LABELS.tif,/imaging.data/rschwob/24-07_histo_segmentations/data/TCGA-OL-A97C-DX1_xmin68058_ymin32495_MPP-0.2500_crop-1250-2500-800-2050_perc-1_UNI.tif
