img_num,prediction type,scribbles mode,scribbles bin,suffix,class_1_pix_gt,class_2_pix_gt,pix_labelled,class_1_pix_labelled,class_2_pix_labelled,pix_in_img,perc. labelled,accuracy,image,ground truth,scribbles,prediction
0,convpaint,all,1.0,a,101577,94519,1932,997,935,196096,0.9852317232375979,0.9437418407310705,/home/rschwob/cellpose_scribbles_test/cellpose_train_imgs/000_img.png,/home/rschwob/cellpose_scribbles_test/cellpose_train_imgs/000_ground_truth.png,/home/rschwob/cellpose_scribbles_test/cellpose_train_imgs/000_scribbles_all_01000_a.png,/home/rschwob/cellpose_scribbles_test/cellpose_train_imgs/000_convpaint_all_01000_a.png
0,ilastik,all,1.0,a,101577,94519,1932,997,935,196096,0.9852317232375979,0.9503916449086162,/home/rschwob/cellpose_scribbles_test/cellpose_train_imgs/000_img.png,/home/rschwob/cellpose_scribbles_test/cellpose_train_imgs/000_ground_truth.png,/home/rschwob/cellpose_scribbles_test/cellpose_train_imgs/000_scribbles_all_01000_a.png,/home/rschwob/cellpose_scribbles_test/cellpose_train_imgs/000_ilastik_all_01000_a.png
1,convpaint,all,0.01,a,128463,67633,17,11,6,196096,0.00866922323759791,0.6666938642297651,/home/rschwob/cellpose_scribbles_test/cellpose_train_imgs/001_img.png,/home/rschwob/cellpose_scribbles_test/cellpose_train_imgs/001_ground_truth.png,/home/rschwob/cellpose_scribbles_test/cellpose_train_imgs/001_scribbles_all_00010_a.png,/home/rschwob/cellpose_scribbles_test/cellpose_train_imgs/001_convpaint_all_00010_a.png
1,ilastik,all,0.01,a,128463,67633,17,11,6,196096,0.00866922323759791,0.3932053687989556,/home/rschwob/cellpose_scribbles_test/cellpose_train_imgs/001_img.png,/home/rschwob/cellpose_scribbles_test/cellpose_train_imgs/001_ground_truth.png,/home/rschwob/cellpose_scribbles_test/cellpose_train_imgs/001_scribbles_all_00010_a.png,/home/rschwob/cellpose_scribbles_test/cellpose_train_imgs/001_ilastik_all_00010_a.png
1,convpaint,all,0.025,a,128463,67633,38,23,15,196096,0.0193782637075718,0.8122909187336814,/home/rschwob/cellpose_scribbles_test/cellpose_train_imgs/001_img.png,/home/rschwob/cellpose_scribbles_test/cellpose_train_imgs/001_ground_truth.png,/home/rschwob/cellpose_scribbles_test/cellpose_train_imgs/001_scribbles_all_00025_a.png,/home/rschwob/cellpose_scribbles_test/cellpose_train_imgs/001_convpaint_all_00025_a.png
1,ilastik,all,0.025,a,128463,67633,38,23,15,196096,0.0193782637075718,0.8032137320496083,/home/rschwob/cellpose_scribbles_test/cellpose_train_imgs/001_img.png,/home/rschwob/cellpose_scribbles_test/cellpose_train_imgs/001_ground_truth.png,/home/rschwob/cellpose_scribbles_test/cellpose_train_imgs/001_scribbles_all_00025_a.png,/home/rschwob/cellpose_scribbles_test/cellpose_train_imgs/001_ilastik_all_00025_a.png
1,convpaint,all,0.05,a,128463,67633,85,57,28,196096,0.04334611618798956,0.9240627039817232,/home/rschwob/cellpose_scribbles_test/cellpose_train_imgs/001_img.png,/home/rschwob/cellpose_scribbles_test/cellpose_train_imgs/001_ground_truth.png,/home/rschwob/cellpose_scribbles_test/cellpose_train_imgs/001_scribbles_all_00050_a.png,/home/rschwob/cellpose_scribbles_test/cellpose_train_imgs/001_convpaint_all_00050_a.png
1,ilastik,all,0.05,a,128463,67633,85,57,28,196096,0.04334611618798956,0.8878100522193212,/home/rschwob/cellpose_scribbles_test/cellpose_train_imgs/001_img.png,/home/rschwob/cellpose_scribbles_test/cellpose_train_imgs/001_ground_truth.png,/home/rschwob/cellpose_scribbles_test/cellpose_train_imgs/001_scribbles_all_00050_a.png,/home/rschwob/cellpose_scribbles_test/cellpose_train_imgs/001_ilastik_all_00050_a.png
1,convpaint,all,0.1,a,128463,67633,181,117,64,196096,0.09230172976501305,0.9301464588772846,/home/rschwob/cellpose_scribbles_test/cellpose_train_imgs/001_img.png,/home/rschwob/cellpose_scribbles_test/cellpose_train_imgs/001_ground_truth.png,/home/rschwob/cellpose_scribbles_test/cellpose_train_imgs/001_scribbles_all_00100_a.png,/home/rschwob/cellpose_scribbles_test/cellpose_train_imgs/001_convpaint_all_00100_a.png
1,ilastik,all,0.1,a,128463,67633,181,117,64,196096,0.09230172976501305,0.9175301892950392,/home/rschwob/cellpose_scribbles_test/cellpose_train_imgs/001_img.png,/home/rschwob/cellpose_scribbles_test/cellpose_train_imgs/001_ground_truth.png,/home/rschwob/cellpose_scribbles_test/cellpose_train_imgs/001_scribbles_all_00100_a.png,/home/rschwob/cellpose_scribbles_test/cellpose_train_imgs/001_ilastik_all_00100_a.png
1,convpaint,all,0.25,a,128463,67633,480,320,160,196096,0.2447780678851175,0.9446954552872062,/home/rschwob/cellpose_scribbles_test/cellpose_train_imgs/001_img.png,/home/rschwob/cellpose_scribbles_test/cellpose_train_imgs/001_ground_truth.png,/home/rschwob/cellpose_scribbles_test/cellpose_train_imgs/001_scribbles_all_00250_a.png,/home/rschwob/cellpose_scribbles_test/cellpose_train_imgs/001_convpaint_all_00250_a.png
1,ilastik,all,0.25,a,128463,67633,480,320,160,196096,0.2447780678851175,0.9286114964099217,/home/rschwob/cellpose_scribbles_test/cellpose_train_imgs/001_img.png,/home/rschwob/cellpose_scribbles_test/cellpose_train_imgs/001_ground_truth.png,/home/rschwob/cellpose_scribbles_test/cellpose_train_imgs/001_scribbles_all_00250_a.png,/home/rschwob/cellpose_scribbles_test/cellpose_train_imgs/001_ilastik_all_00250_a.png
1,convpaint,all,0.5,a,128463,67633,958,639,319,196096,0.488536227154047,0.9190447535900783,/home/rschwob/cellpose_scribbles_test/cellpose_train_imgs/001_img.png,/home/rschwob/cellpose_scribbles_test/cellpose_train_imgs/001_ground_truth.png,/home/rschwob/cellpose_scribbles_test/cellpose_train_imgs/001_scribbles_all_00500_a.png,/home/rschwob/cellpose_scribbles_test/cellpose_train_imgs/001_convpaint_all_00500_a.png
1,ilastik,all,0.5,a,128463,67633,958,639,319,196096,0.488536227154047,0.9417326207571801,/home/rschwob/cellpose_scribbles_test/cellpose_train_imgs/001_img.png,/home/rschwob/cellpose_scribbles_test/cellpose_train_imgs/001_ground_truth.png,/home/rschwob/cellpose_scribbles_test/cellpose_train_imgs/001_scribbles_all_00500_a.png,/home/rschwob/cellpose_scribbles_test/cellpose_train_imgs/001_ilastik_all_00500_a.png
1,convpaint,all,1.0,a,128463,67633,1927,1263,664,196096,0.9826819516971279,0.9389788674934726,/home/rschwob/cellpose_scribbles_test/cellpose_train_imgs/001_img.png,/home/rschwob/cellpose_scribbles_test/cellpose_train_imgs/001_ground_truth.png,/home/rschwob/cellpose_scribbles_test/cellpose_train_imgs/001_scribbles_all_01000_a.png,/home/rschwob/cellpose_scribbles_test/cellpose_train_imgs/001_convpaint_all_01000_a.png
1,ilastik,all,1.0,a,128463,67633,1927,1263,664,196096,0.9826819516971279,0.9446699575718016,/home/rschwob/cellpose_scribbles_test/cellpose_train_imgs/001_img.png,/home/rschwob/cellpose_scribbles_test/cellpose_train_imgs/001_ground_truth.png,/home/rschwob/cellpose_scribbles_test/cellpose_train_imgs/001_scribbles_all_01000_a.png,/home/rschwob/cellpose_scribbles_test/cellpose_train_imgs/001_ilastik_all_01000_a.png
2,convpaint,all,0.01,a,115332,80764,14,9,5,196096,0.007139360313315927,0.6057645234986945,/home/rschwob/cellpose_scribbles_test/cellpose_train_imgs/002_img.png,/home/rschwob/cellpose_scribbles_test/cellpose_train_imgs/002_ground_truth.png,/home/rschwob/cellpose_scribbles_test/cellpose_train_imgs/002_scribbles_all_00010_a.png,/home/rschwob/cellpose_scribbles_test/cellpose_train_imgs/002_convpaint_all_00010_a.png
2,ilastik,all,0.01,a,115332,80764,14,9,5,196096,0.007139360313315927,0.9035421426240209,/home/rschwob/cellpose_scribbles_test/cellpose_train_imgs/002_img.png,/home/rschwob/cellpose_scribbles_test/cellpose_train_imgs/002_ground_truth.png,/home/rschwob/cellpose_scribbles_test/cellpose_train_imgs/002_scribbles_all_00010_a.png,/home/rschwob/cellpose_scribbles_test/cellpose_train_imgs/002_ilastik_all_00010_a.png
2,convpaint,all,0.025,a,115332,80764,41,25,16,196096,0.020908126631853784,0.7512442885117493,/home/rschwob/cellpose_scribbles_test/cellpose_train_imgs/002_img.png,/home/rschwob/cellpose_scribbles_test/cellpose_train_imgs/002_ground_truth.png,/home/rschwob/cellpose_scribbles_test/cellpose_train_imgs/002_scribbles_all_00025_a.png,/home/rschwob/cellpose_scribbles_test/cellpose_train_imgs/002_convpaint_all_00025_a.png
2,ilastik,all,0.025,a,115332,80764,41,25,16,196096,0.020908126631853784,0.9156484578981723,/home/rschwob/cellpose_scribbles_test/cellpose_train_imgs/002_img.png,/home/rschwob/cellpose_scribbles_test/cellpose_train_imgs/002_ground_truth.png,/home/rschwob/cellpose_scribbles_test/cellpose_train_imgs/002_scribbles_all_00025_a.png,/home/rschwob/cellpose_scribbles_test/cellpose_train_imgs/002_ilastik_all_00025_a.png
2,convpaint,all,0.05,a,115332,80764,89,50,39,196096,0.04538593342036554,0.9241035003263708,/home/rschwob/cellpose_scribbles_test/cellpose_train_imgs/002_img.png,/home/rschwob/cellpose_scribbles_test/cellpose_train_imgs/002_ground_truth.png,/home/rschwob/cellpose_scribbles_test/cellpose_train_imgs/002_scribbles_all_00050_a.png,/home/rschwob/cellpose_scribbles_test/cellpose_train_imgs/002_convpaint_all_00050_a.png
2,ilastik,all,0.05,a,115332,80764,89,50,39,196096,0.04538593342036554,0.9202737434725848,/home/rschwob/cellpose_scribbles_test/cellpose_train_imgs/002_img.png,/home/rschwob/cellpose_scribbles_test/cellpose_train_imgs/002_ground_truth.png,/home/rschwob/cellpose_scribbles_test/cellpose_train_imgs/002_scribbles_all_00050_a.png,/home/rschwob/cellpose_scribbles_test/cellpose_train_imgs/002_ilastik_all_00050_a.png
2,convpaint,all,0.1,a,115332,80764,187,111,76,196096,0.09536145561357702,0.9499887810052219,/home/rschwob/cellpose_scribbles_test/cellpose_train_imgs/002_img.png,/home/rschwob/cellpose_scribbles_test/cellpose_train_imgs/002_ground_truth.png,/home/rschwob/cellpose_scribbles_test/cellpose_train_imgs/002_scribbles_all_00100_a.png,/home/rschwob/cellpose_scribbles_test/cellpose_train_imgs/002_convpaint_all_00100_a.png
2,ilastik,all,0.1,a,115332,80764,187,111,76,196096,0.09536145561357702,0.9264951860313316,/home/rschwob/cellpose_scribbles_test/cellpose_train_imgs/002_img.png,/home/rschwob/cellpose_scribbles_test/cellpose_train_imgs/002_ground_truth.png,/home/rschwob/cellpose_scribbles_test/cellpose_train_imgs/002_scribbles_all_00100_a.png,/home/rschwob/cellpose_scribbles_test/cellpose_train_imgs/002_ilastik_all_00100_a.png
2,convpaint,all,0.25,a,115332,80764,480,283,197,196096,0.2447780678851175,0.9386422976501305,/home/rschwob/cellpose_scribbles_test/cellpose_train_imgs/002_img.png,/home/rschwob/cellpose_scribbles_test/cellpose_train_imgs/002_ground_truth.png,/home/rschwob/cellpose_scribbles_test/cellpose_train_imgs/002_scribbles_all_00250_a.png,/home/rschwob/cellpose_scribbles_test/cellpose_train_imgs/002_convpaint_all_00250_a.png
