img_num,prediction type,scribbles mode,scribbles bin,suffix,max_class_pix_gt,min_class_pix_gt,pix_labelled,max_class_pix_labelled,min_class_pix_labelled,pix_in_img,perc. labelled,accuracy,scribbles,prediction
0,convpaint_l-0_s-1-2-4,all,1.5,w3,73227,29097,10678,185930,1610,196608,5.431111653645834,0.9373524983723959,./FoodSeg103_results/data/run02/0000_scribbles_all_01500_w3.png,./FoodSeg103_results/data/run02/0000_convpaint_l-0_s-1-2-4_all_01500_w3.png
0,convpaint_l-0_s-1-2-4-8,all,1.5,w3,73227,29097,10678,185930,1610,196608,5.431111653645834,0.9280344645182291,./FoodSeg103_results/data/run02/0000_scribbles_all_01500_w3.png,./FoodSeg103_results/data/run02/0000_convpaint_l-0_s-1-2-4-8_all_01500_w3.png
0,convpaint_l-0-2_s-1,all,1.5,w3,73227,29097,10678,185930,1610,196608,5.431111653645834,0.94256591796875,./FoodSeg103_results/data/run02/0000_scribbles_all_01500_w3.png,./FoodSeg103_results/data/run02/0000_convpaint_l-0-2_s-1_all_01500_w3.png
0,convpaint_l-0-2_s-1-2,all,1.5,w3,73227,29097,10678,185930,1610,196608,5.431111653645834,0.9403940836588541,./FoodSeg103_results/data/run02/0000_scribbles_all_01500_w3.png,./FoodSeg103_results/data/run02/0000_convpaint_l-0-2_s-1-2_all_01500_w3.png
0,convpaint_l-0-2_s-1-2-4,all,1.5,w3,73227,29097,10678,185930,1610,196608,5.431111653645834,0.9369354248046875,./FoodSeg103_results/data/run02/0000_scribbles_all_01500_w3.png,./FoodSeg103_results/data/run02/0000_convpaint_l-0-2_s-1-2-4_all_01500_w3.png
0,convpaint_l-0-2_s-1-2-4-8,all,1.5,w3,73227,29097,10678,185930,1610,196608,5.431111653645834,0.9186452229817709,./FoodSeg103_results/data/run02/0000_scribbles_all_01500_w3.png,./FoodSeg103_results/data/run02/0000_convpaint_l-0-2_s-1-2-4-8_all_01500_w3.png
0,ilastik,all,1.5,w3,73227,29097,10678,185930,1610,196608,5.431111653645834,0.9346567789713541,./FoodSeg103_results/data/run02/0000_scribbles_all_01500_w3.png,./FoodSeg103_results/data/run02/0000_ilastik_all_01500_w3.png
0,dino,all,1.5,w3,73227,29097,10678,185930,1610,196608,5.431111653645834,0.9631398518880209,./FoodSeg103_results/data/run02/0000_scribbles_all_01500_w3.png,./FoodSeg103_results/data/run02/0000_dino_all_01500_w3.png
1000,convpaint_l-0_s-1,all,0.05,w3,54705,17296,372,196236,32,196608,0.189208984375,0.8077646891276041,./FoodSeg103_results/data/run02/1000_scribbles_all_00050_w3.png,./FoodSeg103_results/data/run02/1000_convpaint_l-0_s-1_all_00050_w3.png
1000,convpaint_l-0_s-1-2,all,0.05,w3,54705,17296,372,196236,32,196608,0.189208984375,0.788848876953125,./FoodSeg103_results/data/run02/1000_scribbles_all_00050_w3.png,./FoodSeg103_results/data/run02/1000_convpaint_l-0_s-1-2_all_00050_w3.png
1000,convpaint_l-0_s-1-2-4,all,0.05,w3,54705,17296,372,196236,32,196608,0.189208984375,0.7280985514322916,./FoodSeg103_results/data/run02/1000_scribbles_all_00050_w3.png,./FoodSeg103_results/data/run02/1000_convpaint_l-0_s-1-2-4_all_00050_w3.png
1000,convpaint_l-0_s-1-2-4-8,all,0.05,w3,54705,17296,372,196236,32,196608,0.189208984375,0.582611083984375,./FoodSeg103_results/data/run02/1000_scribbles_all_00050_w3.png,./FoodSeg103_results/data/run02/1000_convpaint_l-0_s-1-2-4-8_all_00050_w3.png
1000,convpaint_l-0-2_s-1,all,0.05,w3,54705,17296,372,196236,32,196608,0.189208984375,0.7321624755859375,./FoodSeg103_results/data/run02/1000_scribbles_all_00050_w3.png,./FoodSeg103_results/data/run02/1000_convpaint_l-0-2_s-1_all_00050_w3.png
1000,convpaint_l-0-2_s-1-2,all,0.05,w3,54705,17296,372,196236,32,196608,0.189208984375,0.71661376953125,./FoodSeg103_results/data/run02/1000_scribbles_all_00050_w3.png,./FoodSeg103_results/data/run02/1000_convpaint_l-0-2_s-1-2_all_00050_w3.png
1000,convpaint_l-0-2_s-1-2-4,all,0.05,w3,54705,17296,372,196236,32,196608,0.189208984375,0.5595448811848959,./FoodSeg103_results/data/run02/1000_scribbles_all_00050_w3.png,./FoodSeg103_results/data/run02/1000_convpaint_l-0-2_s-1-2-4_all_00050_w3.png
1000,convpaint_l-0-2_s-1-2-4-8,all,0.05,w3,54705,17296,372,196236,32,196608,0.189208984375,0.2821909586588542,./FoodSeg103_results/data/run02/1000_scribbles_all_00050_w3.png,./FoodSeg103_results/data/run02/1000_convpaint_l-0-2_s-1-2-4-8_all_00050_w3.png
1000,ilastik,all,0.05,w3,54705,17296,372,196236,32,196608,0.189208984375,0.603546142578125,./FoodSeg103_results/data/run02/1000_scribbles_all_00050_w3.png,./FoodSeg103_results/data/run02/1000_ilastik_all_00050_w3.png
1000,dino,all,0.05,w3,54705,17296,372,196236,32,196608,0.189208984375,0.928680419921875,./FoodSeg103_results/data/run02/1000_scribbles_all_00050_w3.png,./FoodSeg103_results/data/run02/1000_dino_all_00050_w3.png
1000,convpaint_l-0_s-1,all,0.3,w3,54705,17296,1815,194793,153,196608,0.92315673828125,0.7874247233072916,./FoodSeg103_results/data/run02/1000_scribbles_all_00300_w3.png,./FoodSeg103_results/data/run02/1000_convpaint_l-0_s-1_all_00300_w3.png
