img_num,prediction type,scribbles mode,scribbles bin,suffix,max_class_pix_gt,min_class_pix_gt,pix_labelled,max_class_pix_labelled,min_class_pix_labelled,pix_in_img,perc. labelled,accuracy,scribbles,prediction
0,convpaint_l-0_s-1,all,1.5,w3,73227,29097,10678,185930,1610,196608,5.431111653645834,0.9413909912109375,/home/rschwob/scribbles_tests/food_results/run03/0000_scribbles_all_01500_w3.png,/home/rschwob/scribbles_tests/food_results/run03/0000_convpaint_l-0_s-1_all_01500_w3.png
0,convpaint_l-0_s-1-2,all,1.5,w3,73227,29097,10678,185930,1610,196608,5.431111653645834,0.9398091634114584,/home/rschwob/scribbles_tests/food_results/run03/0000_scribbles_all_01500_w3.png,/home/rschwob/scribbles_tests/food_results/run03/0000_convpaint_l-0_s-1-2_all_01500_w3.png
0,convpaint_l-0_s-1-2-4,all,1.5,w3,73227,29097,10678,185930,1610,196608,5.431111653645834,0.9350636800130209,/home/rschwob/scribbles_tests/food_results/run03/0000_scribbles_all_01500_w3.png,/home/rschwob/scribbles_tests/food_results/run03/0000_convpaint_l-0_s-1-2-4_all_01500_w3.png
0,convpaint_l-0_s-1-2-4-8,all,1.5,w3,73227,29097,10678,185930,1610,196608,5.431111653645834,0.9314778645833334,/home/rschwob/scribbles_tests/food_results/run03/0000_scribbles_all_01500_w3.png,/home/rschwob/scribbles_tests/food_results/run03/0000_convpaint_l-0_s-1-2-4-8_all_01500_w3.png
0,convpaint_l-0-2_s-1,all,1.5,w3,73227,29097,10678,185930,1610,196608,5.431111653645834,0.9411214192708334,/home/rschwob/scribbles_tests/food_results/run03/0000_scribbles_all_01500_w3.png,/home/rschwob/scribbles_tests/food_results/run03/0000_convpaint_l-0-2_s-1_all_01500_w3.png
0,convpaint_l-0-2_s-1-2,all,1.5,w3,73227,29097,10678,185930,1610,196608,5.431111653645834,0.939788818359375,/home/rschwob/scribbles_tests/food_results/run03/0000_scribbles_all_01500_w3.png,/home/rschwob/scribbles_tests/food_results/run03/0000_convpaint_l-0-2_s-1-2_all_01500_w3.png
0,convpaint_l-0-2_s-1-2-4,all,1.5,w3,73227,29097,10678,185930,1610,196608,5.431111653645834,0.937042236328125,/home/rschwob/scribbles_tests/food_results/run03/0000_scribbles_all_01500_w3.png,/home/rschwob/scribbles_tests/food_results/run03/0000_convpaint_l-0-2_s-1-2-4_all_01500_w3.png
0,convpaint_l-0-2_s-1-2-4-8,all,1.5,w3,73227,29097,10678,185930,1610,196608,5.431111653645834,0.9204661051432291,/home/rschwob/scribbles_tests/food_results/run03/0000_scribbles_all_01500_w3.png,/home/rschwob/scribbles_tests/food_results/run03/0000_convpaint_l-0-2_s-1-2-4-8_all_01500_w3.png
0,ilastik,all,1.5,w3,73227,29097,10678,185930,1610,196608,5.431111653645834,0.933258056640625,/home/rschwob/scribbles_tests/food_results/run03/0000_scribbles_all_01500_w3.png,/home/rschwob/scribbles_tests/food_results/run03/0000_ilastik_all_01500_w3.png
0,dino,all,1.5,w3,73227,29097,10678,185930,1610,196608,5.431111653645834,0.9618072509765625,/home/rschwob/scribbles_tests/food_results/run03/0000_scribbles_all_01500_w3.png,/home/rschwob/scribbles_tests/food_results/run03/0000_dino_all_01500_w3.png
8,convpaint_l-0_s-1,all,0.05,w3,99419,12157,396,200308,29,200704,0.19730548469387754,0.6165298150510204,/home/rschwob/scribbles_tests/food_results/run03/0008_scribbles_all_00050_w3.png,/home/rschwob/scribbles_tests/food_results/run03/0008_convpaint_l-0_s-1_all_00050_w3.png
