img_num,prediction tag,prediction type,layers,scalings,scribbles mode,scribbles bin,suffix,class_1_pix_gt,class_2_pix_gt,min_class_pix_gt,max_class_pix_gt,pix_labelled,class_1_pix_labelled,class_2_pix_labelled,min_class_pix_labelled,max_class_pix_labelled,pix_in_img,perc. labelled,accuracy,mPrecision,mRecall,mIoU,mF1,image,ground truth,scribbles,prediction
73,channels,channels,,,all,0.1,run08,163714,32382,32382,163714,172,120,52,52,120,196096,0.0877121409921671,0.9757057767624021,0.9374696364833348,0.9826260983440327,0.9209490995756204,0.9581423717778759,/mnt/imaging.data/rschwob/cellpose_run07/073_img.png,/mnt/imaging.data/rschwob/cellpose_run07/073_ground_truth.png,/mnt/imaging.data/rschwob/cellpose_run07/073_scribbles_all_00100_w1_run07.png,/mnt/imaging.data/rschwob/cellpose_run08/073_channels_all_00100_w1_run08.png
73,channels,channels,,,all,1.0,run08,163714,32382,32382,163714,1924,1287,637,637,1287,196096,0.9811520887728459,0.9769245675587467,0.9604825396510565,0.9554119270605609,0.9206603155972221,0.9579242829963288,/mnt/imaging.data/rschwob/cellpose_run07/073_img.png,/mnt/imaging.data/rschwob/cellpose_run07/073_ground_truth.png,/mnt/imaging.data/rschwob/cellpose_run07/073_scribbles_all_01000_w1_run07.png,/mnt/imaging.data/rschwob/cellpose_run08/073_channels_all_01000_w1_run08.png
74,channels,channels,,,all,0.01,run08,179966,16130,16130,179966,15,12,3,3,12,196096,0.007649314621409922,0.9714986537206266,0.9184629032318248,0.8869160885586855,0.8317420541369935,0.901929937262738,/mnt/imaging.data/rschwob/cellpose_run07/074_img.png,/mnt/imaging.data/rschwob/cellpose_run07/074_ground_truth.png,/mnt/imaging.data/rschwob/cellpose_run07/074_scribbles_all_00010_w1_run07.png,/mnt/imaging.data/rschwob/cellpose_run08/074_channels_all_00010_w1_run08.png
74,channels,channels,,,all,0.1,run08,179966,16130,16130,179966,182,130,52,52,130,196096,0.09281168407310705,0.9845075881201044,0.9675223380272195,0.927472265736714,0.9017670854014788,0.9464085824238059,/mnt/imaging.data/rschwob/cellpose_run07/074_img.png,/mnt/imaging.data/rschwob/cellpose_run07/074_ground_truth.png,/mnt/imaging.data/rschwob/cellpose_run07/074_scribbles_all_00100_w1_run07.png,/mnt/imaging.data/rschwob/cellpose_run08/074_channels_all_00100_w1_run08.png
74,channels,channels,,,all,1.0,run08,179966,16130,16130,179966,1933,1372,561,561,1372,196096,0.9857416775456919,0.9913205776762402,0.9782611004840664,0.9636368911427431,0.9443760606467226,0.9708107070043823,/mnt/imaging.data/rschwob/cellpose_run07/074_img.png,/mnt/imaging.data/rschwob/cellpose_run07/074_ground_truth.png,/mnt/imaging.data/rschwob/cellpose_run07/074_scribbles_all_01000_w1_run07.png,/mnt/imaging.data/rschwob/cellpose_run08/074_channels_all_01000_w1_run08.png
75,channels,channels,,,all,0.01,run08,181124,14972,14972,181124,15,12,3,3,12,196096,0.007649314621409922,0.9688468913185379,0.8843428716957576,0.8993794113432432,0.8169016514170644,0.8916837673808217,/mnt/imaging.data/rschwob/cellpose_run07/075_img.png,/mnt/imaging.data/rschwob/cellpose_run07/075_ground_truth.png,/mnt/imaging.data/rschwob/cellpose_run07/075_scribbles_all_00010_w1_run07.png,/mnt/imaging.data/rschwob/cellpose_run08/075_channels_all_00010_w1_run08.png
75,channels,channels,,,all,0.1,run08,181124,14972,14972,181124,180,134,46,46,134,196096,0.09179177545691906,0.9893266563315927,0.9667376675207231,0.9569085993271818,0.9282230488302823,0.9617602926234414,/mnt/imaging.data/rschwob/cellpose_run07/075_img.png,/mnt/imaging.data/rschwob/cellpose_run07/075_ground_truth.png,/mnt/imaging.data/rschwob/cellpose_run07/075_scribbles_all_00100_w1_run07.png,/mnt/imaging.data/rschwob/cellpose_run08/075_channels_all_00100_w1_run08.png
75,channels,channels,,,all,1.0,run08,181124,14972,14972,181124,1920,1387,533,533,1387,196096,0.97911227154047,0.990744329308094,0.9644753974871696,0.970358974097703,0.9382326851250806,0.9673948736262998,/mnt/imaging.data/rschwob/cellpose_run07/075_img.png,/mnt/imaging.data/rschwob/cellpose_run07/075_ground_truth.png,/mnt/imaging.data/rschwob/cellpose_run07/075_scribbles_all_01000_w1_run07.png,/mnt/imaging.data/rschwob/cellpose_run08/075_channels_all_01000_w1_run08.png
76,channels,channels,,,all,0.01,run08,166647,29449,29449,166647,18,12,6,6,12,196096,0.009179177545691905,0.9853439131853786,0.9605451914169986,0.9844438195033035,0.9462522274032867,0.9720213617311904,/mnt/imaging.data/rschwob/cellpose_run07/076_img.png,/mnt/imaging.data/rschwob/cellpose_run07/076_ground_truth.png,/mnt/imaging.data/rschwob/cellpose_run07/076_scribbles_all_00010_w1_run07.png,/mnt/imaging.data/rschwob/cellpose_run08/076_channels_all_00010_w1_run08.png
76,channels,channels,,,all,0.1,run08,166647,29449,29449,166647,187,129,58,58,129,196096,0.09536145561357702,0.9873939295039165,0.9709803582405634,0.9802543954762369,0.9528013023597959,0.9755475004837031,/mnt/imaging.data/rschwob/cellpose_run07/076_img.png,/mnt/imaging.data/rschwob/cellpose_run07/076_ground_truth.png,/mnt/imaging.data/rschwob/cellpose_run07/076_scribbles_all_00100_w1_run07.png,/mnt/imaging.data/rschwob/cellpose_run08/076_channels_all_00100_w1_run08.png
76,channels,channels,,,all,1.0,run08,166647,29449,29449,166647,1931,1312,619,619,1312,196096,0.9847217689295039,0.987516318537859,0.9717633482841292,0.9798511468334383,0.9531871991577163,0.9757541772532603,/mnt/imaging.data/rschwob/cellpose_run07/076_img.png,/mnt/imaging.data/rschwob/cellpose_run07/076_ground_truth.png,/mnt/imaging.data/rschwob/cellpose_run07/076_scribbles_all_01000_w1_run07.png,/mnt/imaging.data/rschwob/cellpose_run08/076_channels_all_01000_w1_run08.png
77,channels,channels,,,all,0.01,run08,171547,24549,24549,171547,18,12,6,6,12,196096,0.009179177545691905,0.9792346605744126,0.9589507286251902,0.9450929886224928,0.9104561001872337,0.9518732154356527,/mnt/imaging.data/rschwob/cellpose_run07/077_img.png,/mnt/imaging.data/rschwob/cellpose_run07/077_ground_truth.png,/mnt/imaging.data/rschwob/cellpose_run07/077_scribbles_all_00010_w1_run07.png,/mnt/imaging.data/rschwob/cellpose_run08/077_channels_all_00010_w1_run08.png
77,channels,channels,,,all,0.1,run08,171547,24549,24549,171547,179,128,51,51,128,196096,0.09128182114882506,0.9818456266318538,0.9573880282987342,0.9599715696643856,0.9223268799012121,0.9586746716343031,/mnt/imaging.data/rschwob/cellpose_run07/077_img.png,/mnt/imaging.data/rschwob/cellpose_run07/077_ground_truth.png,/mnt/imaging.data/rschwob/cellpose_run07/077_scribbles_all_00100_w1_run07.png,/mnt/imaging.data/rschwob/cellpose_run08/077_channels_all_00100_w1_run08.png
