img_num,prediction tag,prediction type,layers,scalings,scribbles mode,scribbles bin,suffix,class_1_pix_gt,class_2_pix_gt,min_class_pix_gt,max_class_pix_gt,pix_labelled,class_1_pix_labelled,class_2_pix_labelled,min_class_pix_labelled,max_class_pix_labelled,pix_in_img,perc. labelled,accuracy,mPrecision,mRecall,mIoU,mF1,image,ground truth,scribbles,prediction
1,convpaint_l-0_s-1-2,convpaint,0,1-2,all,0.1,a,128463,67633,67633,128463,145,100,45,45,100,196096,0.07394337467362924,0.88416897845953,0.9065611411129422,0.840435112746031,0.7614744303467182,0.8618830213408943,./cellpose_train_imgs/001_img.png,./cellpose_train_imgs/001_ground_truth.png,./cellpose_train_imgs/001_scribbles_all_00100_w2_a.png,./cellpose_train_imgs/001_convpaint_l-0_s-1-2_all_00100_w2_a.png
1,ilastik,classical filters,,,all,0.1,a,128463,67633,67633,128463,145,100,45,45,100,196096,0.07394337467362924,0.6502835345953003,0.637680294627087,0.6464306057075568,0.4704888842195625,0.6354293001433988,./cellpose_train_imgs/001_img.png,./cellpose_train_imgs/001_ground_truth.png,./cellpose_train_imgs/001_scribbles_all_00100_w2_a.png,./cellpose_train_imgs/001_ilastik_all_00100_w2_a.png
1,dino,DINOv2,,,all,0.1,a,128463,67633,67633,128463,145,100,45,45,100,196096,0.07394337467362924,0.6185286798302873,0.5540937364742016,0.5446472246444451,0.3952059989736035,0.5427383141380376,./cellpose_train_imgs/001_img.png,./cellpose_train_imgs/001_ground_truth.png,./cellpose_train_imgs/001_scribbles_all_00100_w2_a.png,./cellpose_train_imgs/001_dino_all_00100_w2_a.png
